               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.012805,           0.0036804,           0.0008705,             0.98743,                   1,               0.995,              0.8605,            0.014056,           0.0023421,            0.000881,           0.0013375,           0.0013375,           0.0013375
                 107,            0.013032,           0.0035756,             0.00129,             0.98765,                   1,               0.995,             0.85622,            0.013697,           0.0023239,          0.00085649,            0.001255,            0.001255,            0.001255
                 108,            0.012237,           0.0038074,          0.00072638,             0.98812,                   1,               0.995,             0.86089,            0.013671,           0.0023276,          0.00080309,           0.0011725,           0.0011725,           0.0011725
                 109,            0.012561,           0.0035428,           0.0008903,             0.98856,                   1,               0.995,             0.86488,            0.013775,           0.0023201,          0.00077887,             0.00109,             0.00109,             0.00109
                 110,            0.012548,            0.003454,           0.0013754,             0.98949,                   1,               0.995,             0.83089,            0.014343,           0.0023645,          0.00078573,           0.0010075,           0.0010075,           0.0010075
                 111,            0.011629,           0.0034615,          0.00067308,             0.98847,                   1,               0.995,             0.85737,            0.014377,           0.0023468,          0.00081358,            0.000925,            0.000925,            0.000925
                 112,            0.012105,           0.0036113,          0.00073448,             0.98909,                   1,               0.995,             0.82482,            0.015129,           0.0023725,          0.00077858,           0.0008425,           0.0008425,           0.0008425
                 113,            0.012017,           0.0035176,            0.001058,             0.98886,                   1,               0.995,             0.83615,            0.014891,           0.0023244,          0.00078287,             0.00076,             0.00076,             0.00076
                 114,            0.011558,           0.0035899,           0.0019266,             0.98687,                   1,               0.995,             0.85789,             0.01455,           0.0023501,          0.00085831,           0.0006775,           0.0006775,           0.0006775
                 115,            0.011874,           0.0036864,          0.00085389,             0.98597,                   1,               0.995,             0.84246,             0.01416,           0.0023388,          0.00089827,            0.000595,            0.000595,            0.000595
                 116,            0.011315,           0.0035945,           0.0012054,             0.98664,                   1,               0.995,             0.84282,            0.014274,            0.002343,          0.00086126,           0.0005125,           0.0005125,           0.0005125
                 117,            0.011342,            0.003624,          0.00078777,             0.98757,                   1,               0.995,             0.85038,            0.013885,           0.0023309,           0.0008069,             0.00043,             0.00043,             0.00043
                 118,            0.011336,           0.0035076,           0.0010437,             0.98789,                   1,               0.995,             0.85107,            0.013938,           0.0023201,          0.00078011,           0.0003475,           0.0003475,           0.0003475
                 119,            0.011229,           0.0036187,          0.00098991,             0.98789,                   1,               0.995,             0.83306,            0.014438,           0.0023491,          0.00075941,            0.000265,            0.000265,            0.000265
